MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
Caltech-3V seed:6 {'acc': 0.7092857142857143, 'nmi': 0.620345440000157, 'pur': 0.7092857142857143}
Caltech-3V seed:7 {'acc': 0.685, 'nmi': 0.6026019677359785, 'pur': 0.7}
Caltech-3V seed:8 {'acc': 0.65, 'nmi': 0.5701124891272246, 'pur': 0.6628571428571428}
Caltech-3V seed:9 {'acc': 0.6485714285714286, 'nmi': 0.5634731780529997, 'pur': 0.6485714285714286}
Caltech-3V seed:10 {'acc': 0.7335714285714285, 'nmi': 0.6229400577047278, 'pur': 0.7335714285714285}
Caltech-4V seed:0 {'acc': 0.6592857142857143, 'nmi': 0.6586764472175133, 'pur': 0.6964285714285714}
Caltech-4V seed:1 {'acc': 0.7421428571428571, 'nmi': 0.6883121856754129, 'pur': 0.7421428571428571}
Caltech-4V seed:2 {'acc': 0.8071428571428572, 'nmi': 0.708271934163532, 'pur': 0.8071428571428572}
Caltech-4V seed:3 {'acc': 0.6671428571428571, 'nmi': 0.6440554626996362, 'pur': 0.7092857142857143}
Caltech-4V seed:4 {'acc': 0.8378571428571429, 'nmi': 0.7534866704767502, 'pur': 0.8378571428571429}
Caltech-4V seed:5 {'acc': 0.8371428571428572, 'nmi': 0.7376986147183023, 'pur': 0.8371428571428572}
Caltech-4V seed:6 {'acc': 0.7357142857142858, 'nmi': 0.6812344306950869, 'pur': 0.7678571428571429}
Caltech-4V seed:7 {'acc': 0.8392857142857143, 'nmi': 0.7579481624026398, 'pur': 0.8392857142857143}
Caltech-4V seed:8 {'acc': 0.7792857142857142, 'nmi': 0.6991939406523252, 'pur': 0.7792857142857142}
Caltech-4V seed:9 {'acc': 0.8335714285714285, 'nmi': 0.7486612780073103, 'pur': 0.8335714285714285}
Caltech-4V seed:10 {'acc': 0.815, 'nmi': 0.7127228056997398, 'pur': 0.815}
Caltech-5V seed:0 {'acc': 0.84, 'nmi': 0.7783601234140808, 'pur': 0.84}
Caltech-5V seed:1 {'acc': 0.8678571428571429, 'nmi': 0.7778262495905103, 'pur': 0.8678571428571429}
Caltech-5V seed:2 {'acc': 0.8064285714285714, 'nmi': 0.7752595823690964, 'pur': 0.8064285714285714}
Caltech-5V seed:3 {'acc': 0.8635714285714285, 'nmi': 0.7874077738596834, 'pur': 0.8635714285714285}
