dataset,lambda1,lambda2,ACC,NMI,PUR
MNIST-USPS,1.0,10.0,0.9962,0.9886240759276833,0.9962
MNIST-USPS,1.0,10.0,0.9966,0.990072407823558,0.9966
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST-USPS,1.0,10.0,0.9962,0.9891575338936812,0.9962
MNIST-USPS,1.0,10.0,0.9964,0.9896873674352095,0.9964
