dataset,lambda1,lambda2,ACC,NMI,PUR
BDGP,1.0,1.0,0.9924,0.9753729340190356,0.9924
CCV,1.0,1.0,0.2133471135390521,0.20693497595164417,0.2421379004872287
CCV,1.0,1.0,0.29455189723903735,0.3069313077203285,0.342536542152665
CCV,1.0,1.0,0.29115606082976525,0.29949223845702055,0.3314631625572125
CCV,1.0,1.0,0.29735715340321867,0.3091655954201583,0.3448988631330282
CCV,1.0,1.0,0.3174368817363059,0.32273427740614224,0.3710320389782962
CCV,1.0,1.0,0.3174368817363059,0.32273427740614224,0.3710320389782962
Fashion,1.0,0.1,0.9928,0.9812999723438853,0.9928
Fashion,1.0,0.1,0.9939,0.9837702422487985,0.9939
Fashion,1.0,0.1,0.7131,0.8023757559015511,0.748
Fashion,1.0,0.1,0.9925,0.9809082722143198,0.9925
Fashion,1.0,0.1,0.9922,0.9801639095301758,0.9922
Fashion,1.0,0.1,0.9924,0.9806971946980777,0.9924
Fashion,1.0,0.1,0.9939,0.9837702422487985,0.9939
Caltech-2V,0.1,0.1,0.4207142857142857,0.31967747583553763,0.44857142857142857
Caltech-2V,0.1,0.1,0.6207142857142857,0.532359858572705,0.6207142857142857
Caltech-2V,0.1,0.1,0.5464285714285714,0.48194894987462433,0.5928571428571429
Caltech-2V,0.1,0.1,0.6007142857142858,0.5363927321276841,0.6042857142857143
Caltech-2V,0.1,0.1,0.5464285714285714,0.48194894987462433,0.5928571428571429
Caltech-3V,0.1,0.1,0.5314285714285715,0.42522159250730746,0.5578571428571428
Caltech-2V,0.1,0.1,0.4207142857142857,0.31967747583553763,0.44857142857142857
Caltech-3V,0.1,0.1,0.7064285714285714,0.6137892247026491,0.7171428571428572
Caltech-3V,0.1,0.1,0.6064285714285714,0.5554902666084166,0.6135714285714285
Caltech-3V,0.1,0.1,0.7064285714285714,0.6137892247026491,0.7171428571428572
Caltech-3V,0.1,0.1,0.6992857142857143,0.6173915564793757,0.71
Caltech-4V,0.1,0.1,0.4828571428571429,0.47822384015055047,0.5178571428571429
Caltech-4V,0.1,0.1,0.7342857142857143,0.659450387389321,0.7364285714285714
Caltech-4V,0.1,0.1,0.4828571428571429,0.47822384015055047,0.5178571428571429
Caltech-4V,0.1,0.1,0.6671428571428571,0.6515884015277725,0.6671428571428571
Caltech-4V,0.1,0.1,0.7142857142857143,0.674169294586837,0.7635714285714286
Caltech-5V,0.1,0.1,0.5857142857142857,0.4732824553351524,0.6128571428571429
Caltech-5V,0.1,0.1,0.7964285714285714,0.7002797985361477,0.7964285714285714
Caltech-5V,0.1,0.1,0.6564285714285715,0.6179640225444977,0.6564285714285715
Caltech-5V,0.1,0.1,0.7771428571428571,0.7277142708137928,0.7771428571428571
Caltech-5V,0.1,0.1,0.84,0.7473210087354665,0.84
Caltech-5V,0.1,0.1,0.8978571428571429,0.8308507744607068,0.8978571428571429
Caltech-5V,0.1,0.1,0.785,0.7134593708603646,0.785
Caltech-5V,0.1,0.1,0.8007142857142857,0.7258885428701166,0.8007142857142857
Caltech-5V,0.1,0.1,0.8657142857142858,0.7814498733860702,0.8657142857142858
Caltech-4V,0.1,0.1,0.6657142857142857,0.6308662435044029,0.7014285714285714
Caltech-4V,0.1,0.1,0.6935714285714286,0.6480981707670685,0.6935714285714286
Caltech-4V,0.1,0.1,0.7928571428571428,0.733700997542769,0.7928571428571428
Caltech-3V,0.1,0.1,0.7035714285714286,0.6195127703351608,0.7128571428571429
Caltech-3V,0.1,0.1,0.7114285714285714,0.5966334376626014,0.7114285714285714
Caltech-3V,0.1,0.1,0.6385714285714286,0.5388308717235528,0.6614285714285715
Caltech-3V,0.1,0.1,0.6385714285714286,0.5388308717235528,0.6614285714285715
Caltech-2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech-2V,0.1,0.1,0.6385714285714286,0.5262311522180838,0.6385714285714286
Caltech-2V,0.1,0.1,0.4492857142857143,0.3168172421528358,0.46214285714285713
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST-USPS,1.0,10.0,0.9926,0.9788922733217088,0.9926
MNIST-USPS,1.0,10.0,0.9952,0.986063500379242,0.9952
MNIST-USPS,1.0,10.0,0.9968,0.9907901359109839,0.9968
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
BDGP,1.0,1.0,0.992,0.9741392982195415,0.992
BDGP,1.0,1.0,0.994,0.9803435997858468,0.994
BDGP,1.0,1.0,0.9916,0.9732406750616407,0.9916
CCV,1.0,1.0,0.3029676657315813,0.30675080328040416,0.3506570205226635
CCV,1.0,1.0,0.29159899601358336,0.30167787784684214,0.33692602982430236
CCV,1.0,1.0,0.28864609478812936,0.3048173098401894,0.3404695112948472
Fashion,1.0,0.1,0.9925,0.9809082722143198,0.9925
Fashion,1.0,0.1,0.9922,0.9801639095301758,0.9922
Fashion,1.0,0.1,0.9924,0.9806971946980777,0.9924
Fashion,0.1,0.1,0.9877,0.9728899712811475,0.9877
BDGP,1.0,10.0,0.9932,0.9760557527619453,0.9932
BDGP,1.0,1.0,0.9936,0.9799360503452945,0.9936
BDGP,1.0,1.0,0.992,0.9741392982195415,0.992
BDGP,1.0,1.0,0.9916,0.9732406750616407,0.9916
BDGP,1.0,0.1,0.9924,0.9753729340190356,0.9924
BDGP,1.0,0.1,0.9928,0.9766910129561786,0.9928
BDGP,1.0,0.1,0.9924,0.9749018527665925,0.9924
BDGP,1.0,0.1,0.9928,0.9766910129561786,0.9928
BDGP,1.0,0.1,0.9924,0.9753729340190356,0.9924
CCV,1.0,0.1,0.29100841576849257,0.30323742573925294,0.336630739701757
CCV,1.0,0.1,0.3115310792853979,0.31508937330442294,0.3466706038683006
CCV,1.0,0.1,0.3063635021408534,0.3077513820299924,0.3342684187213938
MNIST_USPS,1.0,10.0,0.4976,0.6700822735437952,0.5034
MNIST_USPS,0.001,0.001,0.611,0.6972337506596237,0.6234
MNIST_USPS,0.001,0.1,0.7054,0.8095347782640738,0.7544
MNIST_USPS,0.001,1.0,0.5158,0.5677330071216695,0.5346
MNIST_USPS,0.001,10.0,0.3496,0.34914192289775364,0.368
