dataset,lambda1,lambda2,ACC,NMI,PUR
Fashion,0.1,0.001,0.8242,0.8705754183865452,0.8726
Fashion,0.1,0.001,0.9935,0.9833067809251209,0.9935
Fashion,0.1,0.001,0.9947,0.9858532208350832,0.9947
Fashion,0.1,0.001,0.9938,0.983973894214329,0.9938
Fashion,0.1,0.001,0.9943,0.9849682683998764,0.9943
